tweet_id,user,user_id,created_at,text,geo,coordinates,scraped_at
176099219315245056,AtlanticDrywall,509599515,"2012-03-04 00:18:20+00:00","Romney 30.9%, Paul 27.1%, Santorum 24.1% via AP at 7:05 p.m. ET. 12% in. @politico http://t.co/2mR3qvgj #WACaucuses",None,null,"2012-03-06 01:20:04.111725"
176118766650920960,tpuzzo,44211515,"2012-03-04 01:36:00+00:00","#huckforum Outstanding responses from Gingrich. Very substitive answers.",None,null,"2012-03-06 17:30:08.865364"
176146629341093888,felichag,52269319,"2012-03-04 03:26:43+00:00","ihopericksantorum: http://t.co/XMFVEMni",None,null,"2012-03-06 01:20:04.110958"
176152637413134337,ChiefBorn,302900205,"2012-03-04 03:50:36+00:00","RT @RippDemUp: Ron Paul: The Lost Years http://t.co/BgBMJpAr #p2 #GOP",None,null,"2012-03-06 22:20:05.355939"
176154217180958720,thesuppertest,314562753,"2012-03-04 03:56:52+00:00","@Shineoncrzydmnd it didn't seem to affect Santorum's faith and he is highly educated.",None,null,"2012-03-06 01:20:04.110191"
176162489824854018,chrisberez,17889886,"2012-03-04 04:29:45+00:00","@erinoka Yeah, Santorum is terrifying. Luckily, I can't imagine him not losing in a landslide if he became the nominee. He's too crazy.",None,null,"2012-03-06 01:20:04.109416"
176181702325043200,Dan_Mullen,21549802,"2012-03-04 05:46:05+00:00","@erinoka @chrisberez I think we should have to pre-clear all sexual relationships w govt. A board headed by Santorum would grant approval.",None,null,"2012-03-06 01:20:04.108647"
176202484161851393,Brennachu,29024742,"2012-03-04 07:08:40+00:00","They're so dumb they're probably going to vote for santorum",None,null,"2012-03-06 01:20:04.107881"
176202730380070913,TomLavinNH,338665228,"2012-03-04 07:09:39+00:00","Final numbers from the #WAcaucus: Mitt Romney 37.6%, Ron Paul 24.8%, Rick Santorum 23.8%, Newt Gingrich 10.3%.",None,null,"2012-03-06 01:20:04.106802"
176208898573877248,SeacoastTweets,85587561,"2012-03-04 07:34:09+00:00","rt @unionleader Poll Romney catches Santorum in Ohio dead heat: Republican presidential candidate Mitt Romney ha... http://t.co/RSUhs53a",None,null,"2012-03-06 01:20:04.106025"
176300559618420736,VoiceofAnubis,299952109,"2012-03-04 13:38:23+00:00","Oh, BTW, Ron Paul was 2nd in the WA Caucus last night.  Not like anybody is going to mention it or anything.",None,null,"2012-03-06 22:20:05.355209"
176301200340303873,VoiceofAnubis,299952109,"2012-03-04 13:40:56+00:00","Ron Paul only got 28% of the vote.  Why even bother acting like he exists?",None,null,"2012-03-06 22:20:05.354481"
176331115450220545,WStuartross,25282419,"2012-03-04 15:39:48+00:00","I'm confused. Gingrich is still running?",None,null,"2012-03-06 17:30:08.864032"
176334569639915520,RussRenshaw,14322143,"2012-03-04 15:53:32+00:00","@Jchawes That Rick Santorum is a good choice for the Republican party and the country! #HardToSayWithAStraightFace",None,null,"2012-03-06 01:20:04.105251"
176336076493959170,JackErickson,36446627,"2012-03-04 15:59:31+00:00","Gingrich rips Obama on Iran: 'We're being played for fools': Newt Gingrich tore into President Obama's Israel po... http://t.co/y7w3JmnM",None,null,"2012-03-06 17:30:08.863125"
176356569125109760,yaaintseenothin,28993587,"2012-03-04 17:20:57+00:00","Santorum Implicitly Concedes Need For Obamacare Says His Special NeedsChilTook Up Much Of His Income http://t.co/MzmLfYcF via @thinkprogress",None,null,"2012-03-06 01:20:04.104472"
176358582856589312,yaaintseenothin,28993587,"2012-03-04 17:28:57+00:00","Santorum Implicitly Concedes Need For Obamacare Says His Special NeedsChildTook Up Much Of His Incom http://t.co/MzmLfYcF via @thinkprogress",None,null,"2012-03-06 01:20:04.103678"
176360594532872192,sourbrains,269906296,"2012-03-04 17:36:57+00:00","Why Teaching People to Think for Themselves Is Repugnant to Religious Zealots and Rick Santorum | http://t.co/8F95Ihjp",None,null,"2012-03-06 01:20:04.102788"
176365137656156163,propagare,18583216,"2012-03-04 17:55:00+00:00","RT @wnliles: Dear Friends, IMHO Ron Paul deserves the chance to turn the direction of our country back toward the US Constitution. Thanks #WAcaucus",None,null,"2012-03-06 22:20:05.353750"
176372483027501056,ColeDavis84,22051422,"2012-03-04 18:24:11+00:00","#10BeauitfulPeopleIFollow Newt Gingrich",None,null,"2012-03-06 01:20:10.770152"
176372807310131200,Youxia88,167862232,"2012-03-04 18:25:28+00:00","@conservativesue I tweet for Newt #Gingrich #MyVoteFactor http://t.co/ZDkiArR0 Tweet Your Vote: 2012 Republican Primaries @newtgingrich",None,null,"2012-03-06 01:20:10.769075"
176372950486884352,Youxia88,167862232,"2012-03-04 18:26:02+00:00","@JONWEXFORD I tweet for Newt #Gingrich #MyVoteFactor http://t.co/ZDkiArR0 Tweet Your Vote: 2012 Republican Primaries @newtgingrich",None,null,"2012-03-06 01:20:10.768301"
176373437042929664,Youxia88,167862232,"2012-03-04 18:27:58+00:00","@JonathanStein4 I tweet for Newt #Gingrich #MyVoteFactor http://t.co/ZDkiArR0 Tweet Your Vote: 2012 Republican Primaries @newtgingrich",None,null,"2012-03-06 01:20:10.767532"
176375424094453760,THEGREGMOORE,240140234,"2012-03-04 18:35:52+00:00","RT @Youxia88: Thank God RT @Oil_Ranger: Gingrich wins Southern Conserv Caucus held by TN #Conservative Union in (cont) http://t.co/aeXdddbt",None,null,"2012-03-06 01:20:10.766756"
176383813511938048,MadSciKat,15176566,"2012-03-04 19:09:12+00:00","'Given his continued opposition to health care reform, it seems Santorum favors a society where the rich can take care of their own and...",None,null,"2012-03-06 01:20:04.101592"
176384599356743681,JimmyBo1313,344990015,"2012-03-04 19:12:20+00:00","@DavidLimbaugh IMO David, if Rush had supported Newt or at least stayed neutral he wouldn't be having this trouble!  http://t.co/15NiKmQW",None,null,"2012-03-06 01:20:10.765980"
176386453213949954,thecatcameback,48168225,"2012-03-04 19:19:42+00:00","@AfterElton time for santorum to go out with the rest of the trash -.-",None,null,"2012-03-06 01:20:04.100820"
176387150395355136,Youxia88,167862232,"2012-03-04 19:22:28+00:00","@UdayanMallik @newtgingrich I tweet for Newt #Gingrich #MyVoteFactor http://t.co/ZDkiArR0 Tweet (cont) http://t.co/2wuQGyVT",None,null,"2012-03-06 01:20:10.765207"
176387240342196226,Youxia88,167862232,"2012-03-04 19:22:49+00:00","@scythekain @newsbusters @SmallgGay I tweet for Newt #Gingrich #MyVoteFactor (cont) http://t.co/iXtC33ON",None,null,"2012-03-06 01:20:10.763844"
176387452733370370,Youxia88,167862232,"2012-03-04 19:23:40+00:00","@DLoesch @BarackObama @ericboehlert I tweet for Newt #Gingrich #MyVoteFactor (cont) http://t.co/OdRphKjf",None,null,"2012-03-06 01:20:10.763068"
176387719373664258,Youxia88,167862232,"2012-03-04 19:24:44+00:00","@DickMorrisTweet I tweet for Newt #Gingrich #MyVoteFactor http://t.co/ZDkiArR0 Tweet Your Vote: 2012 Republican Primaries @newtgingrich",None,null,"2012-03-06 01:20:10.762275"
176387876404207616,immoderator,30296864,"2012-03-04 19:25:21+00:00","#Romney: 203 delegates; #Santorum: 92; #Gingrich: 33: #RonPaul: 25",None,null,"2012-03-06 01:20:10.761420"
